BMI_714_Variable_Name,Variable_Name,Variable_Description,Data_File_Name,Data_File_Description,Component
P_OHQ_OHQ555Q,OHQ555Q,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ555U,OHQ555U,We would like you to think of the time when {SP} started brushing {his/her} teeth either with your help or alone. At what age did {SP} start brushing {his/her} teeth?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ560G,OHQ560G,At what age did {SP} start using toothpaste?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ560Q,OHQ560Q,At what age did {SP} start using toothpaste?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ560U,OHQ560U,At what age did {SP} start using toothpaste?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ566,OHQ566,Has {SP} ever received prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ571Q,OHQ571Q,How old in months or years was {SP} when {he/she} started taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ571U,OHQ571U,How old in months or years was {SP} when {he/she} started taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ576G,OHQ576G,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ576Q,OHQ576Q,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ576U,OHQ576U,How old in months or years was {SP} when {he/she} stopped taking prescription fluoride drops or fluoride tablets?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ610,OHQ610,"In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about... ...the benefits of giving up cigarettes or other types of tobacco to improve {your/SP's} dental health?",P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ612,OHQ612,"(In the past 12 months, did a dentist, hygienist or other dental professional have a direct conversation with {you/SP} about...) ... the dental health benefits of checking {your/his/her} blood sugar?",P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ620,OHQ620,How often during the last year (have you/ has SP) had painful aching anywhere in (your/his/her) mouth? Would you say....,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ640,OHQ640,"How often during the last year {have you/has SP} had difficulty doing {your/his/her} usual jobs or attending school because of problems with {your/his/her} teeth, mouth or dentures? Would you say . . .",P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ835,OHQ835,"The next questions will ask about the condition of {your/SP's} teeth and some factors related to gum health. Gum disease is a common problem with the mouth. People with gum disease might have swollen gums, receding gums, sore or infected gums or loose teeth. {Do you/Does SP} think {you/s/he} might have gum disease?",P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ845,OHQ845,"Overall, how would {you/SP} rate the health of {your/his/her} teeth and gums?",P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ848G,OHQ848G,How many times {do you/does SP} brush (your/his/her} teeth in one day?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ848Q,OHQ848Q,How many times {do you/does SP} brush (your/his/her} teeth in one day?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ849,OHQ849,"On average, how much toothpaste {do you/does SP} use when brushing {your/his/her} teeth?",P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ850,OHQ850,"{Have you/Has SP} ever had treatment for gum disease such as scaling and root planing, sometimes called ""deep cleaning""?",P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ860,OHQ860,{Have you/Has SP} ever been told by a dental professional that {you/s/he} lost bone around [your/his/her} teeth?,P_OHQ,Oral Health,Questionnaire
P_OHQ_OHQ870,OHQ870,"Aside from brushing {your/his/her} teeth with a toothbrush, in the last seven days, how many days did {you/SP} use dental floss or any other device to clean between {your/his/her} teeth?",P_OHQ,Oral Health,Questionnaire
P_OSQ_OSQ010A,OSQ010A,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .hip?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ010B,OSQ010B,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .wrist?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ010C,OSQ010C,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured {your/his/her} . . .spine?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ020A,OSQ020A,How many times {have you/has SP} broken or fractured {your/his/her} hip?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ020B,OSQ020B,How many times {have you/has SP} broken or fractured {your/his/her} wrist?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ020C,OSQ020C,How many times {have you/has SP} broken or fractured {your/his/her} spine?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030AA,OSD030AA,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 1st time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040AA,OSQ040AA,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050AA,OSD050AA,Did that fracture occur as a result of . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030AB,OSD030AB,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 2nd time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040AB,OSQ040AB,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050AB,OSD050AB,Did that fracture occur as a result of . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030AC,OSD030AC,How old {were you/was SP} when {you/s/he} fractured {your/his/her} hip the 3rd time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040AC,OSQ040AC,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050AC,OSD050AC,Did that fracture occur as a result of . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030BA,OSD030BA,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 1st time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040BA,OSQ040BA,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050BA,OSD050BA,Did that fracture occur as a result of. . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030BB,OSD030BB,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist 2nd time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040BB,OSQ040BB,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050BB,OSD050BB,Did that fracture occur as a result of . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030BC,OSD030BC,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 3rd time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040BC,OSQ040BC,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050BC,OSD050BC,Did that fracture occur as a result of . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030BD,OSD030BD,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 4th time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040BD,OSQ040BD,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050BD,OSD050BD,Did that fracture occur as a result of.....,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030BE,OSD030BE,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 5th time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040BE,OSQ040BE,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050BE,OSD050BE,Did that fracture occur as a result of.....,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030BF,OSD030BF,How old {were you/was SP} when {you/s/he} fractured {your/his/her} wrist the 6th time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040BF,OSQ040BF,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030CA,OSD030CA,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 1st time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040CA,OSQ040CA,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050CA,OSD050CA,Did that fracture occur as a result of . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030CB,OSD030CB,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 2nd time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040CB,OSQ040CB,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050CB,OSD050CB,Did that fracture occur as a result of . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030CC,OSD030CC,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 3rd time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040CC,OSQ040CC,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050CC,OSD050CC,Did that fracture occur as a result of.....,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030CD,OSD030CD,How old {were you/was SP} when {you/s/he} fractured {your/his/her} spine the 4th time?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040CD,OSQ040CD,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050CD,OSD050CD,Did that fracture occur as a result of.....,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD030CE,OSD030CE,How old {were you/was SP} when {you/s/he} fractured {your/his/her} {hip/wrist/spine} {the {1st/2nd/10th or more recent time . . .} time}?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ040CE,OSQ040CE,{Were you/Was SP} . . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD050CE,OSD050CE,Did that fracture occur as a result of.....,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ080,OSQ080,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bone after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090A,OSQ090A,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ100A,OSQ100A,Please look at this card and tell me where the fracture occurred.,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD110A,OSD110A,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100a) for the first time after age 20?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120A,OSQ120A,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090B,OSQ090B,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ100B,OSQ100B,Please look at this card and tell me where the fracture occurred.,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD110B,OSD110B,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100b) for the first time after age 20?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120B,OSQ120B,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090C,OSQ090C,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ100C,OSQ100C,Please look at this card and tell me where the fracture occurred.,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD110C,OSD110C,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100c) for the first time after age 20?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120C,OSQ120C,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090D,OSQ090D,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ100D,OSQ100D,Please look at this card and tell me where the fracture occurred.,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD110D,OSD110D,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100d) for the first time after age 20?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120D,OSQ120D,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090E,OSQ090E,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ100E,OSQ100E,Please look at this card and tell me where the fracture occurred.,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD110E,OSD110E,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ100e) for the first time after age 20?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120E,OSQ120E,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090F,OSQ090F,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ100F,OSQ100F,Please look at this card and tell me where the fracture occurred.,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD110F,OSD110F,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in 05OSQ.100) for the first time after age 20?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120F,OSQ120F,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090G,OSQ090G,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120G,OSQ120G,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090H,OSQ090H,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120H,OSQ120H,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090I,OSQ090I,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120I,OSQ120I,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ090J,OSQ090J,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ100J,OSQ100J,Please look at this card and tell me where the fracture occurred.,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSD110J,OSD110J,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ.100) for the first time after age 20?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ120J,OSQ120J,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ060,OSQ060,"Has a doctor ever told {you/SP} that {you/s/he} had osteoporosis, sometimes called thin or brittle bones?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ072,OSQ072,Please look at the drugs on this card that are prescribed for osteoporosis. {Have you/Has SP} ever been told by a doctor or other health care professional to take a prescribed medicine for osteoporosis?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ130,OSQ130,{Have you/has SP} ever taken any prednisone or cortisone pills nearly every day for a month or longer? [Prednisone and cortisone are types of steroids.],P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ140Q,OSQ140Q,Please think about {your/SP's} use of prednisone or cortisone during {your/his/her} lifetime. For how long did {you/s/he} use prednisone or cortisone nearly every day? Do not count the months or years when {you were/s/he was} not taking the medicine.,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ140U,OSQ140U,"How long used prednisone or cortisone: month, year?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ150,OSQ150,"Including living and deceased, were either of {your/SP's} biological parents ever told by a health professional that they had osteoporosis or brittle bones?",P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ160A,OSQ160A,Mother was told had osteoporosis?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ160B,OSQ160B,Father was told had osteoporosis?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ170,OSQ170,Did {your/SP's} biological mother ever fracture her hip?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ180,OSQ180,About how old was your mother when she fractured her hip (the first time)?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ190,OSQ190,Was she. . .,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ200,OSQ200,Did {your/SP's} biological father ever fracture his hip?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ210,OSQ210,About how old was your father when he fractured his hip (the first time)?,P_OSQ,Osteoporosis,Questionnaire
P_OSQ_OSQ220,OSQ220,Was he . . .,P_OSQ,Osteoporosis,Questionnaire
P_PAQ_PAQ605,PAQ605,"Next I am going to ask you about the time {you spend/SP spends} doing different types of physical activity in a typical week. Think first about the time {you spend/he spends/she spends} doing work. Think of work as the things that {you have/he has/she has} to do such as paid or unpaid work, household chores, and yard work. Does {your/SP's} work involve vigorous-intensity activity that causes large increases in breathing or heart rate like carrying or lifting heavy loads, digging or construction work for at least 10 minutes continuously?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ610,PAQ610,"In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAD615,PAD615,How much time {do you/does SP} spend doing vigorous-intensity activities at work on a typical day?,P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ620,PAQ620,Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?,P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ625,PAQ625,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAD630,PAD630,How much time {do you/does SP} spend doing moderate-intensity activities at work on a typical day?,P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ635,PAQ635,"The next questions exclude the physical activity at work that you have already mentioned. Now I would like to ask you about the usual way {you travel/SP travels} to and from places. For example to school, for shopping, to work. In a typical week {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ640,PAQ640,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAD645,PAD645,How much time {do you/does SP} spend walking or bicycling for travel on a typical day?,P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ650,PAQ650,"The next questions exclude the work and transport activities that you have already mentioned. Now I would like to ask you about sports, fitness and recreational activities. In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ655,PAQ655,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAD660,PAD660,"How much time {do you/does SP} spend doing vigorous-intensity sports, fitness or recreational activities on a typical day?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ665,PAQ665,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAQ670,PAQ670,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAD675,PAD675,"How much time {do you/does SP} spend doing moderate-intensity sports, fitness or recreational activities on a typical day?",P_PAQ,Physical Activity,Questionnaire
P_PAQ_PAD680,PAD680,"The following question is about sitting at school, at home, getting to and from places, or with friends including time spent sitting at a desk, traveling in a car or bus, reading, playing cards, watching television, or using a computer. Do not include time spent sleeping. How much time {do you/does SP} usually spend sitting on a typical day?",P_PAQ,Physical Activity,Questionnaire
P_PAQY_PAQ706,PAQ706,"I'd like to ask you some questions about {your/SP's} activities. During the past 7 days, on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time.",P_PAQY,Physical Activity - Youth,Questionnaire
P_PUQMEC_PUQ100,PUQ100,"In the past 7 days, were any chemical products used in {your/his/her} home to control fleas, roaches, ants, termites, or other insects?",P_PUQMEC,Pesticide Use,Questionnaire
P_PUQMEC_PUQ110,PUQ110,"In the past 7 days, were any chemical products used in {your/his/her} lawn or garden to kill weeds?",P_PUQMEC,Pesticide Use,Questionnaire
P_RHQ_RHQ010,RHQ010,The next series of questions are about {your/SP's} reproductive history. I will begin by asking about {your/SP's} periods or menstrual cycles. How old {were you/was SP} when {you/SP} had {your/her} first menstrual period?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHD018,RHD018,Derived from RHQ018 - In what month did {you/SP} have {your/her} first menstrual period?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ020,RHQ020,{Were you/Was SP}...,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ031,RHQ031,"{Have you/Has SP} had at least one menstrual period in the past 12 months? (Please do not include bleedings caused by medical conditions, hormone therapy, or surgeries.)",P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHD043,RHD043,What is the reason that {you have/SP has} not had a period in the past 12 months?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ060,RHQ060,About how old {were you/was SP} when {you/SP} had {your/her} last menstrual period?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ070,RHQ070,{Were you/Was SP}...,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ074,RHQ074,The next questions are about {your/SP's} pregnancy history. {Have you/Has SP} ever attempted to become pregnant over a period of at least a year without becoming pregnant?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ076,RHQ076,{Have you/Has SP} ever been to a doctor or other medical provider because {you have/she has} been unable to become pregnant?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ078,RHQ078,"{Have you/Has SP} ever been treated for an infection in {your/her} fallopian tubes, uterus or ovaries, also called a pelvic infection, pelvic inflammatory disease, or PID?",P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ131,RHQ131,"The next questions are about {your/SP's} pregnancy history. {Have you/Has SP ever been pregnant? Please include (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies and abortions.",P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHD143,RHD143,{Are you/Is SP} pregnant now?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ160,RHQ160,"How many times {have you/has SP} been pregnant? ({Again, be/Be} sure to count all {your/her} pregnancies including (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies or abortions.)",P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ162,RHQ162,"During {any/your/SP's} pregnancy, {were you/was SP} ever told by a doctor or other health professional that {you/she} had diabetes, sugar diabetes or gestational diabetes? Please do not include diabetes that {you/SP} may have known about before the pregnancy.",P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHD167,RHD167,How many deliveries {have you/has SP} had? (Please count all vaginal and Cesarean deliveries and count stillbirths as well as live births.),P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ171,RHQ171,How many of {your/her} deliveries resulted {Did {your/her} delivery result} in a live birth?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ172,RHQ172,{Did {your/SP's} delivery/Did any of {your/SP's} deliveries} result in a baby that weighed 9 pounds (4082 g) or more at birth? (Please count stillbirths as well as live births.),P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHD180,RHD180,How old {were you/was SP} at the time of {your/her} first live birth?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHD190,RHD190,How old were you at the time of your last live birth?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ197,RHQ197,How many months ago did {you/SP} have {your/her} baby?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ200,RHQ200,{Are you/Is SP} now breast feeding a child?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHD280,RHD280,"{Have you/Has SP} had a hysterectomy that is, surgery to remove {your/her} uterus or womb?",P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ305,RHQ305,{Have you/Has SP} had both of {your/her} ovaries removed (either when {you/she} had {your/her} uterus removed or at another time)?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ332,RHQ332,How old {were you/was SP} when {you/she} had {your/her} ovaries removed or last ovary removed if removed at different times?,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ540,RHQ540,"{Have you/Has SP} ever used female hormones such as estrogen and progesterone? Please include any forms of female hormones, such as pills, cream, patch, and injectables, but do not include birth control methods or use for infertility.",P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ542A,RHQ542A,Which forms of female hormones {have you/has SP} used.,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ542B,RHQ542B,Which forms of female hormones {have you/has SP} used.,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ542C,RHQ542C,Which forms of female hormones {have you/has SP} used.,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ542D,RHQ542D,Which forms of female hormones {have you/has SP} used.,P_RHQ,Reproductive Health,Questionnaire
P_RHQ_RHQ554,RHQ554,{Have you/Has SP} ever taken female hormone pills containing estrogen only (like Premarin)? (Do not include birth control pills.),P_RHQ,Reproductive Health,Questionnaire
